catcher,player_id,team_id,age,maxeff_arm_2b_3b_sba,exchange_2b_3b_sba,pop_2b_sba_count,pop_2b_sba,pop_2b_cs,pop_2b_sb,pop_3b_sba_count,pop_3b_sba,pop_3b_cs,pop_3b_sb
Tomas Nido,621512,121,25,80.1,0.67,17,1.93,1.86,1.94,2,1.63,-.--,1.63
J.T. Realmuto,592663,143,28,88.4,0.68,38,1.88,1.88,1.89,2,1.42,1.34,1.51
Blake Swihart,596119,109,27,86.0,0.68,3,1.91,1.88,1.93,0,-.--,-.--,-.--
Eric Haase,606992,114,27,83.6,0.70,1,1.89,1.89,-.--,0,-.--,-.--,-.--
Garrett Stubbs,596117,117,26,85.7,0.69,3,1.92,1.90,1.93,0,-.--,-.--,-.--
Willson Contreras,575929,112,27,85.9,0.68,27,1.92,1.90,1.92,2,1.56,1.56,-.--
Jake Rogers,668670,116,24,79.4,0.66,8,1.91,1.90,1.92,4,1.64,1.66,1.63
Drew Butera,460077,115,36,,0.72,1,1.91,1.91,-.--,1,1.54,-.--,1.54
Nick Ciuffo,624419,139,24,84.8,0.73,2,1.90,1.92,1.88,0,-.--,-.--,-.--
Sean Murphy,669221,133,25,87.4,0.79,6,1.98,1.92,2.01,0,-.--,-.--,-.--
Russell Martin,431145,119,36,82.2,0.75,9,2.04,1.92,2.07,0,-.--,-.--,-.--
Kyle Higashioka,543309,147,29,82.4,0.77,6,1.94,1.92,1.96,1,1.52,-.--,1.52
Elias Diaz,553869,134,29,85.1,0.71,18,1.93,1.93,1.92,5,1.51,1.46,1.54
Manny Pina,444489,158,32,83.2,0.66,16,1.95,1.94,1.96,3,1.63,1.58,1.65
Seby Zavala,664874,145,26,,0.74,1,1.94,1.94,-.--,0,-.--,-.--,-.--
Gary Sanchez,596142,147,27,87.7,0.73,25,1.95,1.94,1.95,1,1.44,-.--,1.44
Yadier Molina,425877,138,37,84.1,0.68,12,1.98,1.95,2.00,1,1.45,-.--,1.45
Jacob Stallings,607732,134,30,86.0,0.71,9,1.98,1.95,2.00,1,1.53,-.--,1.53
Luke Maile,571912,141,28,83.0,0.70,13,1.99,1.95,2.02,1,1.60,-.--,1.60
Martin Maldonado,455117,117,33,87.1,0.77,27,1.96,1.96,1.97,0,-.--,-.--,-.--
Mike Zunino,572287,139,28,81.2,0.69,20,1.97,1.96,1.98,3,1.59,-.--,1.59
Welington Castillo,456078,145,32,79.9,0.65,19,1.96,1.96,1.96,0,-.--,-.--,-.--
Beau Taylor,607333,133,29,81.2,0.76,2,2.00,1.96,2.03,0,-.--,-.--,-.--
Anthony Bemboom,621532,108,29,83.5,0.69,7,1.99,1.97,2.01,1,1.58,-.--,1.58
Jorge Alfaro,595751,146,26,88.2,0.75,27,1.94,1.97,1.91,2,1.60,-.--,1.60
Austin Hedges,595978,135,27,83.2,0.68,18,1.92,1.97,1.90,3,1.55,1.62,1.51
Roberto Perez,547379,114,31,82.7,0.73,30,1.96,1.97,1.95,0,-.--,-.--,-.--
Reese McGuire,624512,141,24,79.0,0.63,9,1.97,1.97,1.96,3,1.62,-.--,1.62
Tyler Heineman,623168,146,28,76.6,0.70,2,2.00,1.97,2.03,0,-.--,-.--,-.--
Tony Wolters,547172,115,27,79.6,0.65,33,1.96,1.97,1.95,4,1.55,1.54,1.56
Juan Centeno,518542,111,30,77.0,0.59,3,1.97,1.98,1.97,0,-.--,-.--,-.--
Dustin Garneau,572863,133,32,78.1,0.68,9,1.97,1.98,1.96,1,1.62,-.--,1.62
Kevan Smith,607345,108,31,83.0,0.75,11,2.06,1.98,2.07,1,1.51,-.--,1.51
Chad Wallach,595453,146,28,81.5,0.86,2,1.98,1.98,-.--,1,1.94,-.--,1.94
Chris Herrmann,543302,133,32,,0.71,4,2.00,1.99,2.01,1,1.41,-.--,1.41
Mitch Garver,641598,142,28,82.9,0.77,11,2.03,1.99,2.04,1,1.89,-.--,1.89
Yan Gomes,543228,120,32,80.6,0.67,22,1.96,1.99,1.95,3,1.53,1.52,1.55
Buster Posey,457763,137,32,83.2,0.73,41,2.00,1.99,2.00,3,1.55,-.--,1.55
Josh Phegley,572033,133,31,79.9,0.66,32,1.99,1.99,1.98,3,1.85,1.85,-.--
Grayson Greiner,606988,116,27,85.6,0.76,25,1.97,1.99,1.97,3,1.53,1.49,1.56
Pedro Severino,600474,110,26,83.8,0.74,25,1.99,1.99,1.99,0,-.--,-.--,-.--
Sandy Leon,506702,111,30,78.4,0.67,15,2.02,1.99,2.04,2,1.57,1.57,-.--
Bobby Wilson,435064,116,36,76.3,0.76,8,2.08,2.00,2.10,1,1.62,-.--,1.62
Francisco Cervelli,465041,144,33,80.2,0.67,10,1.99,2.00,1.98,0,-.--,-.--,-.--
Austin Wynns,642851,110,29,78.5,0.72,9,2.02,2.00,2.03,1,1.54,-.--,1.54
Christian Vazquez,543877,111,29,81.6,0.71,27,1.98,2.00,1.94,3,1.55,1.52,1.63
Willians Astudillo,553902,142,28,78.8,0.76,8,2.00,2.00,2.00,2,1.89,-.--,1.89
Alex Avila,488671,109,32,81.5,0.74,18,2.01,2.00,2.01,0,-.--,-.--,-.--
John Hicks,543308,116,30,82.8,0.73,24,2.00,2.00,2.00,5,1.57,-.--,1.57
Will Smith,669257,119,24,83.6,0.72,11,1.99,2.00,1.97,0,-.--,-.--,-.--
Jonathan Lucroy,518960,112,33,80.1,0.69,28,2.01,2.01,2.01,4,1.59,-.--,1.59
Isiah Kiner-Falefa,643396,140,24,77.4,0.66,9,2.02,2.01,2.03,0,-.--,-.--,-.--
Erik Kratz,456124,139,39,80.9,0.77,8,2.01,2.01,2.01,0,-.--,-.--,-.--
Austin Allen,664119,135,25,79.4,0.91,4,2.03,2.01,2.04,1,2.05,-.--,2.05
Wilson Ramos,467092,121,32,81.5,0.71,59,2.00,2.01,2.00,5,1.57,-.--,1.57
Meibrys Viloria,650619,118,22,82.5,0.73,9,1.98,2.01,1.93,3,1.58,1.58,-.--
John Ryan Murphy,571974,144,28,,0.75,1,2.01,2.01,-.--,0,-.--,-.--,-.--
Nick Hundley,460026,133,36,80.5,0.70,12,2.01,2.02,2.00,1,1.54,1.54,-.--
Rocky Gale,502570,119,31,80.5,0.70,2,1.98,2.02,1.94,0,-.--,-.--,-.--
Carson Kelly,608348,109,25,82.5,0.74,18,1.99,2.02,1.98,1,1.51,-.--,1.51
James McCann,543510,145,29,81.1,0.75,21,2.05,2.02,2.07,7,1.60,1.54,1.63
Nick Dini,664926,118,26,81.2,0.78,4,2.01,2.02,1.96,2,1.68,-.--,1.68
Matt Wieters,446308,138,33,79.3,0.71,10,2.02,2.02,2.00,0,-.--,-.--,-.--
Andrew Knapp,595284,143,28,84.1,0.73,14,1.99,2.02,1.98,1,1.59,-.--,1.59
Jose Trevino,624431,140,27,76.3,0.69,9,2.06,2.02,2.08,1,1.69,-.--,1.69
Francisco Mejia,642336,135,24,88.6,0.77,12,1.95,2.03,1.94,2,1.55,-.--,1.55
Robinson Chirinos,455139,117,35,80.8,0.72,27,2.03,2.03,2.02,0,-.--,-.--,-.--
Michael Perez,605421,139,27,84.1,0.74,5,2.02,2.03,2.01,0,-.--,-.--,-.--
Tucker Barnhart,571466,113,28,79.4,0.70,31,2.01,2.03,2.00,1,1.59,1.59,-.--
Danny Jansen,643376,141,24,80.3,0.77,37,2.05,2.03,2.06,2,1.61,-.--,1.61
Bryan Holaday,592407,146,32,78.1,0.69,9,2.03,2.03,2.02,2,1.58,1.59,1.57
Jason Castro,488771,142,32,82.1,0.74,20,2.01,2.03,2.00,2,1.61,-.--,1.61
Victor Caratini,605170,112,26,79.1,0.75,13,2.07,2.04,2.08,4,1.68,1.71,1.67
Tim Federowicz,543148,140,32,80.1,0.69,5,2.03,2.04,2.02,1,1.60,-.--,1.60
Kurt Suzuki,435559,120,36,81.1,0.79,20,2.06,2.04,2.07,3,1.65,1.69,1.63
Cam Gallagher,595956,118,27,79.4,0.73,13,2.05,2.04,2.05,0,-.--,-.--,-.--
Chris Iannetta,455104,115,36,80.2,0.75,8,2.08,2.04,2.10,1,1.63,-.--,1.63
Travis d'Arnaud,518595,139,30,83.5,0.74,20,1.99,2.04,1.94,0,-.--,-.--,-.--
Aramis Garcia,605244,137,26,83.7,0.74,1,2.04,2.04,-.--,1,1.53,-.--,1.53
Jesus Sucre,491696,110,31,80.7,0.75,5,2.05,2.05,2.06,0,-.--,-.--,-.--
Tom Murphy,608596,136,28,84.9,0.78,17,2.04,2.06,2.02,1,1.79,-.--,1.79
Curt Casali,592200,113,31,79.1,0.75,20,2.07,2.06,2.08,3,1.61,1.62,1.61
Andrew Knizner,668800,138,24,81.7,0.80,1,2.07,2.07,-.--,0,-.--,-.--,-.--
Dom Nunez,624513,115,24,,0.71,4,2.05,2.07,2.04,0,-.--,-.--,-.--
Max Stassi,545358,108,28,81.7,0.76,10,2.03,2.07,2.02,1,1.61,1.61,-.--
Brian McCann,435263,144,35,77.1,0.77,20,2.08,2.08,2.08,3,1.63,1.66,1.62
Chance Sisco,642082,110,24,79.1,0.78,20,2.10,2.09,2.10,0,-.--,-.--,-.--
Yasmani Grandal,518735,158,31,78.4,0.72,45,2.07,2.09,2.06,2,1.66,1.66,1.67
Tyler Flowers,452095,144,33,76.0,0.74,23,2.12,2.09,2.13,1,1.58,-.--,1.58
Kyle Farmer,571657,113,29,78.7,0.75,4,2.07,2.10,2.06,0,-.--,-.--,-.--
Omar Narvaez,553882,136,27,79.3,0.76,32,2.07,2.10,2.06,4,1.61,1.62,1.60
Kevin Plawecki,608700,114,28,77.1,0.72,11,2.10,2.10,2.10,4,1.60,1.58,1.61
Jeff Mathis,425772,140,36,76.6,0.76,24,2.12,2.12,2.12,4,1.72,-.--,1.72
Stephen Vogt,519390,137,35,73.4,0.70,14,2.14,2.13,2.14,3,1.74,1.65,1.78
Austin Barnes,605131,119,30,76.8,0.67,10,2.09,2.13,2.09,2,1.60,-.--,1.60
Austin Romine,519222,147,31,82.2,0.83,13,2.06,2.14,2.03,4,1.66,1.56,1.70
Caleb Joseph,543376,109,33,79.3,0.78,5,2.08,2.17,1.95,0,-.--,-.--,-.--
Rene Rivera,425784,121,36,,0.63,2,1.81,-.--,1.81,0,-.--,-.--,-.--
Steven Baron,571467,134,29,79.5,0.72,1,2.00,-.--,2.00,0,-.--,-.--,-.--
Zack Collins,641470,145,24,79.4,0.75,4,2.08,-.--,2.08,0,-.--,-.--,-.--
Taylor Davis,543089,112,30,81.0,0.69,4,2.02,-.--,2.02,0,-.--,-.--,-.--
Ryan Lavarnway,543432,113,32,78.0,0.91,1,2.03,-.--,2.03,0,-.--,-.--,-.--