"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","K%","BB%","PA","playerid"
"Christian Yelich","Brewers","30.6 %","71.1 %","45.6 %","56.3 %","87.5 %","74.4 %","37.2 %","59.5 %","11.7 %","18.6 %","14.2 %","365","11477"
"Cody Bellinger","Dodgers","26.5 %","68.5 %","43.1 %","69.6 %","83.8 %","78.5 %","39.3 %","52.5 %","9.3 %","14.9 %","14.3 %","377","15998"
"Mike Trout","Angels","20.1 %","58.6 %","35.5 %","72.3 %","91.8 %","85.2 %","40.1 %","50.9 %","5.3 %","17.6 %","19.4 %","391","10155"
"Joey Gallo","Rangers","22.4 %","64.2 %","38.9 %","38.7 %","73.0 %","61.0 %","39.4 %","50.0 %","15.1 %","36.5 %","18.8 %","260","14128"
"Charlie Blackmon","Rockies","35.3 %","71.8 %","51.7 %","73.5 %","87.1 %","82.0 %","44.8 %","62.5 %","9.3 %","17.3 %","5.9 %","341","7859"
"Peter Alonso","Mets","33.4 %","64.4 %","44.4 %","64.4 %","84.2 %","74.6 %","35.5 %","57.2 %","11.3 %","24.5 %","9.8 %","376","19251"
"Josh Bell","Pirates","30.9 %","79.1 %","49.1 %","66.6 %","82.2 %","76.0 %","37.7 %","55.7 %","11.8 %","20.4 %","10.8 %","388","13145"
"Anthony Rendon","Nationals","23.0 %","72.1 %","43.9 %","73.4 %","91.8 %","86.2 %","42.5 %","55.3 %","6.0 %","15.1 %","10.2 %","324","12861"
"Freddie Freeman","Braves","31.2 %","82.8 %","51.1 %","67.6 %","80.8 %","75.8 %","38.6 %","54.7 %","12.3 %","18.5 %","11.3 %","406","5361"
"Bryan Reynolds","Pirates","32.8 %","72.8 %","48.2 %","60.5 %","85.3 %","74.9 %","38.6 %","61.8 %","12.1 %","21.5 %","9.6 %","251","19326"
"Kris Bryant","Cubs","29.0 %","76.5 %","47.9 %","66.4 %","82.7 %","76.7 %","39.7 %","59.7 %","11.1 %","19.5 %","12.3 %","375","15429"
"George Springer","Astros","22.1 %","75.1 %","45.5 %","50.0 %","81.7 %","73.1 %","44.2 %","65.3 %","12.2 %","20.5 %","11.6 %","268","12856"
"Carlos Santana","Indians","20.3 %","66.2 %","38.6 %","65.8 %","87.5 %","80.6 %","39.8 %","54.2 %","7.5 %","14.8 %","16.9 %","378","2396"
"Juan Soto","Nationals","24.3 %","66.0 %","40.4 %","63.9 %","86.2 %","78.0 %","38.5 %","54.7 %","8.9 %","21.3 %","14.9 %","342","20123"
"Rhys Hoskins","Phillies","23.6 %","61.6 %","39.0 %","68.8 %","82.9 %","77.8 %","40.5 %","54.9 %","8.7 %","24.0 %","17.3 %","392","16472"
"Jeff McNeil","Mets","39.1 %","84.4 %","58.3 %","69.8 %","89.2 %","81.7 %","42.5 %","62.6 %","10.7 %","11.9 %","5.7 %","318","15362"
"Willson Contreras","Cubs","34.4 %","69.7 %","47.7 %","56.5 %","80.4 %","69.7 %","37.7 %","58.3 %","14.5 %","25.2 %","10.9 %","302","11609"
"Alex Bregman","Astros","18.0 %","59.6 %","35.4 %","73.0 %","91.6 %","86.1 %","41.8 %","55.1 %","4.9 %","12.9 %","17.0 %","394","17678"
"Nolan Arenado","Rockies","39.0 %","74.3 %","52.3 %","70.4 %","89.4 %","80.5 %","37.7 %","62.3 %","10.2 %","13.9 %","9.4 %","382","9777"
"Rafael Devers","Red Sox","38.7 %","76.7 %","54.5 %","71.3 %","84.3 %","78.9 %","41.6 %","58.5 %","11.5 %","15.9 %","7.4 %","378","17350"
"Xander Bogaerts","Red Sox","28.1 %","57.4 %","40.4 %","67.2 %","88.0 %","79.6 %","42.0 %","57.2 %","8.3 %","18.0 %","12.9 %","388","12161"
"Luke Voit","Yankees","26.2 %","79.9 %","48.0 %","45.5 %","78.7 %","67.9 %","40.5 %","62.2 %","15.4 %","25.8 %","14.0 %","349","14811"
"Nelson Cruz","Twins","29.6 %","71.7 %","45.2 %","54.8 %","79.1 %","69.1 %","37.0 %","53.9 %","14.0 %","28.1 %","10.9 %","267","2434"
"Ketel Marte","Diamondbacks","33.6 %","71.8 %","49.3 %","73.6 %","91.0 %","84.0 %","41.0 %","59.6 %","7.9 %","14.1 %","6.8 %","384","13613"
"J.D. Martinez","Red Sox","34.5 %","78.1 %","51.8 %","57.7 %","88.8 %","76.3 %","39.8 %","61.1 %","12.3 %","19.0 %","10.1 %","357","6184"
"Anthony Rizzo","Cubs","33.1 %","63.8 %","44.9 %","73.1 %","88.6 %","81.5 %","38.3 %","52.3 %","8.3 %","14.7 %","11.7 %","375","3473"
"DJ LeMahieu","Yankees","30.5 %","67.3 %","46.6 %","74.8 %","93.5 %","86.6 %","43.6 %","57.8 %","6.3 %","14.4 %","6.8 %","367","9874"
"Trevor Story","Rockies","32.4 %","70.5 %","48.1 %","64.5 %","80.8 %","74.3 %","41.1 %","57.3 %","12.3 %","26.1 %","8.3 %","349","12564"
"Yoan Moncada","White Sox","32.5 %","67.1 %","47.5 %","50.8 %","79.8 %","68.6 %","43.4 %","65.8 %","14.9 %","27.4 %","7.4 %","336","17232"
"Michael Brantley","Astros","28.7 %","61.2 %","43.4 %","83.7 %","96.5 %","91.9 %","45.2 %","61.5 %","3.5 %","9.8 %","7.9 %","366","4106"
"Yasmani Grandal","Brewers","28.6 %","64.6 %","43.5 %","62.8 %","82.5 %","74.9 %","41.5 %","60.4 %","10.9 %","20.8 %","14.7 %","341","11368"
"Max Muncy","Dodgers","24.9 %","66.2 %","42.1 %","62.2 %","81.4 %","74.7 %","41.6 %","54.8 %","10.6 %","23.5 %","13.7 %","358","13301"
"Ronald Acuna Jr.","Braves","25.6 %","71.9 %","44.6 %","66.9 %","82.4 %","77.2 %","41.0 %","57.0 %","10.2 %","23.3 %","10.2 %","412","18401"
"Hunter Dozier","Royals","28.9 %","60.9 %","41.9 %","51.3 %","94.8 %","77.1 %","40.7 %","57.0 %","9.6 %","22.4 %","11.5 %","286","15117"
"Shin-Soo Choo","Rangers","20.8 %","66.0 %","41.1 %","53.1 %","83.0 %","74.7 %","45.0 %","58.7 %","10.4 %","23.8 %","10.8 %","370","3174"
"Hunter Renfroe","Padres","34.0 %","69.7 %","49.1 %","61.2 %","81.9 %","73.6 %","42.4 %","65.1 %","12.9 %","27.3 %","7.6 %","289","15464"
"Daniel Vogelbach","Mariners","21.3 %","52.6 %","34.1 %","69.6 %","83.3 %","78.3 %","40.8 %","54.3 %","7.4 %","23.2 %","17.9 %","341","14130"
"Matt Chapman","Athletics","24.2 %","64.5 %","41.9 %","69.6 %","85.0 %","80.0 %","43.8 %","56.0 %","8.4 %","19.0 %","11.1 %","389","16505"
"Eduardo Escobar","Diamondbacks","40.7 %","69.9 %","51.7 %","65.5 %","84.1 %","75.0 %","37.7 %","63.4 %","12.9 %","19.8 %","8.0 %","388","6153"
"Gleyber Torres","Yankees","34.6 %","76.8 %","51.9 %","61.2 %","83.7 %","74.8 %","40.9 %","61.2 %","13.1 %","22.4 %","9.7 %","340","16997"
"James McCann","White Sox","33.2 %","70.1 %","49.2 %","60.8 %","83.8 %","75.0 %","43.3 %","60.6 %","12.3 %","25.9 %","7.2 %","251","12859"
"Jorge Polanco","Twins","29.0 %","66.0 %","44.7 %","73.0 %","91.0 %","84.3 %","42.5 %","61.0 %","7.0 %","14.7 %","8.1 %","395","13152"
"Mike Moustakas","Brewers","34.4 %","73.8 %","50.1 %","66.2 %","88.1 %","79.0 %","39.8 %","51.3 %","10.5 %","17.0 %","8.4 %","359","4892"
"David Dahl","Rockies","39.1 %","73.4 %","52.6 %","61.9 %","78.9 %","71.2 %","39.4 %","63.1 %","15.1 %","26.6 %","6.0 %","331","13744"
"Mookie Betts","Red Sox","19.1 %","57.9 %","35.4 %","74.7 %","93.9 %","87.9 %","42.1 %","54.3 %","4.3 %","14.4 %","16.3 %","418","13611"
"Austin Meadows","Rays","28.0 %","63.0 %","42.8 %","62.1 %","85.9 %","76.9 %","42.3 %","62.3 %","9.9 %","23.6 %","8.9 %","305","15672"
"Javier Baez","Cubs","42.9 %","74.5 %","54.6 %","51.8 %","80.5 %","66.3 %","37.1 %","67.3 %","18.4 %","28.7 %","5.1 %","376","12979"
"Omar Narvaez","Mariners","28.7 %","70.7 %","46.8 %","72.3 %","84.3 %","80.1 %","43.0 %","61.3 %","9.3 %","19.2 %","9.8 %","287","13338"
"Josh Donaldson","Braves","27.4 %","72.7 %","45.5 %","61.7 %","76.8 %","71.4 %","40.0 %","60.1 %","13.0 %","25.3 %","13.5 %","363","5038"
"Trey Mancini","Orioles","34.2 %","71.1 %","49.8 %","66.1 %","83.8 %","76.8 %","42.4 %","62.7 %","11.6 %","20.2 %","8.0 %","362","15149"
"Brandon Lowe","Rays","34.1 %","79.3 %","54.3 %","43.0 %","78.1 %","65.9 %","44.7 %","63.5 %","18.5 %","33.9 %","7.2 %","307","18882"
"Andrew McCutchen","Phillies","17.7 %","56.6 %","35.5 %","58.0 %","83.1 %","76.3 %","45.7 %","54.6 %","8.4 %","21.0 %","16.4 %","262","9847"
"Tommy Pham","Rays","20.1 %","63.2 %","38.6 %","63.4 %","88.5 %","81.0 %","43.0 %","57.0 %","7.3 %","19.4 %","13.0 %","377","2967"
"Tommy La Stella","Angels","25.7 %","58.8 %","41.6 %","82.2 %","93.7 %","90.0 %","48.0 %","62.2 %","4.2 %","8.7 %","6.4 %","312","12371"
"Domingo Santana","Mariners","26.4 %","73.5 %","47.8 %","54.0 %","80.6 %","72.6 %","45.5 %","63.2 %","13.1 %","29.1 %","9.3 %","399","10348"
"Max Kepler","Twins","30.8 %","76.0 %","49.8 %","62.1 %","94.0 %","82.5 %","42.0 %","63.8 %","8.7 %","15.6 %","9.6 %","365","12144"
"Francisco Lindor","Indians","35.6 %","74.2 %","51.4 %","72.2 %","90.1 %","82.8 %","40.9 %","58.4 %","8.9 %","16.5 %","7.9 %","315","12916"
"Eric Sogard","Blue Jays","24.7 %","54.6 %","37.5 %","82.8 %","94.8 %","90.3 %","42.7 %","57.5 %","3.7 %","13.8 %","10.0 %","261","7927"
"Joc Pederson","Dodgers","31.1 %","69.2 %","47.2 %","69.1 %","84.5 %","78.6 %","42.3 %","58.6 %","10.1 %","19.9 %","9.4 %","297","11899"
"Gary Sanchez","Yankees","36.2 %","57.2 %","43.8 %","56.8 %","82.5 %","69.0 %","36.3 %","57.1 %","13.6 %","28.0 %","8.3 %","289","11442"
"Whit Merrifield","Royals","33.3 %","67.3 %","48.2 %","73.3 %","86.8 %","81.6 %","43.9 %","63.3 %","8.8 %","18.1 %","6.5 %","414","11281"
"Bryce Harper","Phillies","31.2 %","77.2 %","48.2 %","53.4 %","80.3 %","69.3 %","36.8 %","60.3 %","14.8 %","26.6 %","14.9 %","395","11579"
"Justin Turner","Dodgers","29.2 %","68.4 %","46.9 %","77.4 %","89.1 %","85.1 %","45.2 %","62.8 %","7.0 %","15.9 %","8.7 %","333","5235"
"Jay Bruce","- - -","37.9 %","81.2 %","55.6 %","56.8 %","82.7 %","72.2 %","40.8 %","62.5 %","15.4 %","23.7 %","6.5 %","291","9892"
"Tim Anderson","White Sox","43.9 %","79.2 %","58.1 %","64.1 %","88.5 %","77.5 %","40.2 %","62.3 %","13.1 %","21.0 %","2.5 %","281","15172"
"Marcell Ozuna","Cardinals","32.2 %","71.2 %","47.4 %","56.9 %","84.9 %","73.3 %","38.9 %","60.7 %","12.7 %","20.9 %","9.5 %","326","10324"
"Christian Vazquez","Red Sox","33.9 %","65.5 %","47.7 %","72.3 %","90.1 %","83.0 %","43.7 %","66.2 %","8.1 %","18.4 %","5.1 %","272","9774"
"Michael Conforto","Mets","25.2 %","68.7 %","43.3 %","61.2 %","82.8 %","75.5 %","41.6 %","59.7 %","10.6 %","22.9 %","13.9 %","345","16376"
"Alex Verdugo","Dodgers","29.6 %","61.7 %","43.7 %","75.3 %","94.7 %","87.3 %","44.1 %","58.4 %","5.5 %","9.6 %","6.9 %","303","17027"
"Corey Seager","Dodgers","30.8 %","78.0 %","50.1 %","59.4 %","86.0 %","76.4 %","40.9 %","58.2 %","11.8 %","18.9 %","10.4 %","270","13624"
"Ozzie Albies","Braves","39.2 %","79.4 %","55.4 %","67.9 %","87.4 %","79.1 %","40.2 %","62.9 %","11.6 %","15.5 %","8.0 %","388","16556"
"Yandy Diaz","Rays","24.4 %","72.2 %","44.4 %","64.2 %","85.0 %","78.4 %","41.9 %","59.5 %","9.6 %","16.9 %","10.5 %","296","16578"
"Christian Walker","Diamondbacks","29.7 %","78.4 %","50.3 %","60.7 %","80.0 %","73.4 %","42.2 %","62.8 %","13.4 %","28.0 %","8.9 %","336","13419"
"David Peralta","Diamondbacks","36.8 %","68.1 %","49.5 %","63.9 %","87.8 %","77.2 %","40.5 %","65.1 %","11.3 %","22.2 %","8.0 %","324","2136"
"Eddie Rosario","Twins","44.1 %","79.1 %","57.2 %","74.5 %","85.9 %","80.4 %","37.4 %","58.3 %","11.2 %","13.9 %","4.3 %","324","12155"
"Manny Machado","Padres","30.4 %","71.5 %","46.9 %","59.7 %","86.7 %","76.2 %","40.1 %","61.3 %","11.2 %","20.4 %","9.4 %","372","11493"
"Franmil Reyes","Padres","34.4 %","79.0 %","52.7 %","51.3 %","77.4 %","67.3 %","40.9 %","62.3 %","17.2 %","26.5 %","7.0 %","302","14566"
"Jose Abreu","White Sox","38.2 %","69.8 %","51.0 %","62.6 %","89.0 %","77.2 %","40.5 %","55.4 %","11.6 %","23.0 %","4.9 %","370","15676"
"Ian Desmond","Rockies","28.7 %","65.2 %","44.2 %","56.1 %","85.2 %","74.4 %","42.6 %","60.3 %","11.3 %","25.4 %","7.0 %","287","6885"
"Edwin Encarnacion","- - -","27.1 %","66.1 %","43.0 %","66.3 %","80.6 %","75.3 %","40.8 %","56.8 %","10.6 %","21.6 %","13.0 %","361","2151"
"Jason Heyward","Cubs","30.0 %","66.2 %","44.6 %","69.1 %","86.8 %","79.7 %","40.3 %","54.5 %","9.1 %","17.8 %","12.0 %","332","4940"
"Dansby Swanson","Braves","26.8 %","72.6 %","46.6 %","61.0 %","83.9 %","76.4 %","43.2 %","57.9 %","11.0 %","19.7 %","7.6 %","380","18314"
"C.J. Cron","Twins","35.1 %","70.9 %","50.2 %","62.9 %","86.1 %","76.8 %","42.2 %","58.3 %","11.7 %","19.3 %","6.9 %","331","12546"
"Nicholas Castellanos","Tigers","40.0 %","75.4 %","53.9 %","62.8 %","88.6 %","77.0 %","39.3 %","60.7 %","12.4 %","21.3 %","7.7 %","366","11737"
"Colin Moran","Pirates","38.1 %","73.4 %","51.5 %","62.3 %","88.2 %","76.3 %","37.9 %","64.7 %","12.2 %","24.2 %","5.9 %","269","16909"
"Robinson Chirinos","Astros","30.9 %","66.9 %","45.2 %","50.5 %","82.6 %","69.3 %","39.7 %","61.7 %","13.9 %","28.3 %","13.8 %","269","3142"
"Nick Markakis","Braves","27.7 %","61.9 %","41.8 %","85.1 %","90.7 %","88.5 %","41.2 %","56.3 %","4.8 %","12.8 %","10.4 %","366","5930"
"Marcus Semien","Athletics","23.9 %","68.9 %","42.9 %","70.0 %","90.6 %","84.0 %","42.2 %","65.3 %","6.9 %","13.2 %","10.8 %","424","12533"
"Dexter Fowler","Cardinals","22.9 %","70.3 %","42.8 %","63.2 %","81.6 %","75.9 %","41.9 %","61.6 %","10.3 %","23.1 %","11.7 %","281","4062"
"Brandon Belt","Giants","24.7 %","73.9 %","44.2 %","64.8 %","86.1 %","78.9 %","39.5 %","58.5 %","9.3 %","19.7 %","16.1 %","335","10264"
"Eugenio Suarez","Reds","25.4 %","70.1 %","45.3 %","51.2 %","85.2 %","74.6 %","44.6 %","63.0 %","11.5 %","26.8 %","9.6 %","365","12552"
"Alex Gordon","Royals","29.4 %","71.1 %","46.8 %","64.0 %","88.1 %","79.3 %","41.7 %","58.0 %","9.7 %","18.0 %","7.9 %","367","5209"
"Byron Buxton","Twins","36.8 %","76.3 %","53.6 %","56.2 %","84.1 %","73.1 %","42.4 %","62.3 %","14.4 %","22.7 %","7.3 %","260","14161"
"Michael Chavis","Red Sox","35.2 %","77.7 %","52.4 %","50.6 %","74.8 %","65.1 %","40.4 %","62.1 %","18.3 %","33.2 %","8.4 %","298","17321"
"Justin Smoak","Blue Jays","22.0 %","64.9 %","38.6 %","58.1 %","88.4 %","77.8 %","38.7 %","48.5 %","8.6 %","19.1 %","16.4 %","299","9054"
"Brett Gardner","Yankees","23.9 %","54.6 %","37.7 %","72.3 %","93.3 %","86.0 %","44.9 %","53.9 %","5.3 %","15.5 %","10.2 %","323","9927"
